Brand,Model,Rating(out of 5),Top Speed (kmph),Range (km),Weight (kg),Charging Time (hrs),Price,Class,Load Capacity
PURE EV,EPluto 7G,2.3,47,101,76,4,77999,2W,-
Joy e-bike,Mihos,3.6,70,130,110,5,148981,2W,-
Odysse,Vader,4.8,85,125,128,4,161574,2W,-
Benling,Aura,2.6,60,120,-,6,91667,2W,-
Yo,Drift,3.8,25,60,59,8,51094,2W,-
Simple Energy,Dot One,4.1,105,151,126,4,140499,2W,-
BGauss,RUV350,5,75,90,122,-,109999,2W,-
BGauss,C12i,3.3,60,85,106,4,113668,2W,-
Benling,Kriti,2.8,25,60,-,8,56781,2W,-
iVOOMi,Jeet X,4.2,70,100,96,5,84999,2W,-
Kinetic Green,Zing,3,25,70,-,4,71990,2W,-
Hop Electric,LEO,3,25,95,77,3,84360,2W,-
Ultraviolette,F77,4.7,140,206,197,8,380000,2W,-
Joy e-bike,Wolf,2.5,25,60,67,4,78513,2W,-
Joy e-bike,Gen Nxt,3,25,60,67,4,74389,2W,-
Okinawa,Ridge 100,5,50,149,-,6,115311,2W,-
Odysse,Trot,-,25,75,110,4,99999,2W,-
Kinetic Green,Flex,-,72,120,100,4,109874,2W,-
Okaya,ClassIQ,3,25,70,-,5,74499,2W,-
PURE EV,ETrance Neo,2.9,47,101,86,4,73999,2W,-
Techo Electra,Raptor,4,25,90,60,5,57893,2W,-
Evolet,Derby,4.4,25,90,76,4,71399,2W,-
Kinetic,Green Zulu,3,60,104,93,5,95017,2W,-
Joy e-bike,Monster,3.7,25,75,93,5,100500,2W,-
iVOOMi,Eco,5,25,80,60,4,71999,2W,-
Gemopai,Ryder,3.4,25,90,80,4,70822,2W,-
Joy e-bike,Glob,2.4,25,60,67,4,76326,2W,-
Okaya,Motofaast,5,70,130,-,5,128999,2W,-
